Question,Answer
What is recall? , Recall is the ratio of true positive predictions to the total number of actual positive instances in the dataset.
Explain F1 score ," F1 score is the harmonic mean of precision and recall, providing a balanced measure of model performance."
What is accuracy? , Accuracy is the ratio of correct predictions to the total number of predictions made by the model.
Define ROC curve , ROC curve is a graph showing the performance of a classification model at all classification thresholds.
What is regularization? , Regularization is a technique to prevent overfitting by adding a penalty term to the loss function.
Explain L1 regularization ," L1 regularization adds the sum of absolute values of parameters to the loss function, promoting sparsity."
What is L2 regularization? ," L2 regularization adds the sum of squared parameters to the loss function, preventing large weights."
Define gradient descent , Gradient descent is an optimization algorithm that finds the minimum of a function by iteratively moving in the direction of steepest descent.
What is stochastic gradient descent? , Stochastic gradient descent updates model parameters using one randomly selected sample at a time.
Explain batch gradient descent , Batch gradient descent computes gradients using the entire training dataset before updating parameters.
What is mini-batch gradient descent? , Mini-batch gradient descent uses a small subset of training data to compute gradients and update parameters.
Define learning rate , Learning rate is a hyperparameter that controls how much the model weights are updated during training.
What is feature scaling? ," Feature scaling is the process of normalizing features to have similar scales, improving model performance."
Explain data normalization ," Data normalization is the process of scaling data to a standard range, typically between 0 and 1."
What is standardization? , Standardization is the process of scaling data to have zero mean and unit variance.
Define ensemble learning , Ensemble learning combines multiple models to create a stronger predictor than individual models alone.
What is bagging? , Bagging (Bootstrap Aggregating) is an ensemble method that trains multiple models on different bootstrap samples of the training data.
Explain boosting ," Boosting is an ensemble technique that sequentially combines weak learners, with each new learner focusing on previously misclassified examples."
What is random forest? , Random forest is an ensemble method that combines multiple decision trees with random feature selection and bootstrap sampling.
Define decision trees , Decision trees are a type of model that makes predictions by learning simple decision rules inferred from data features.
What is logistic regression? , Logistic regression is a statistical method used for binary classification problems using the logistic function.
Explain linear regression , Linear regression is a statistical method that models the relationship between a dependent variable and independent variables using a linear equation.
What is support vector machines? , Support vector machines are supervised learning models that find the optimal hyperplane to separate different classes.
Define k-nearest neighbors , K-nearest neighbors is a lazy learning algorithm that classifies data points based on the majority class of their k nearest neighbors.
What is AdaBoost? , AdaBoost is a boosting algorithm that adjusts weights of misclassified instances to focus subsequent learners on difficult examples.
Explain gradient boosting ," Gradient boosting builds models sequentially, with each new model correcting errors made by previous models using gradient descent."
What is XGBoost? , XGBoost is an optimized gradient boosting framework designed for speed and performance in machine learning competitions.
Define hyperparameter tuning , Hyperparameter tuning is the process of finding the best combination of hyperparameters for a machine learning model.
What is grid search? , Grid search is a hyperparameter tuning method that exhaustively searches through a specified parameter grid.
Explain random search , Random search is a hyperparameter tuning method that randomly samples parameter combinations from specified distributions.
What is Bayesian optimization? , Bayesian optimization is a method for optimizing expensive-to-evaluate functions by building a probabilistic model.
Define multi-class classification , Multi-class classification is a classification task with more than two classes.
What is multi-label classification? , Multi-label classification is a classification task where each instance can belong to multiple classes simultaneously.
Explain imbalanced data ," Imbalanced data refers to datasets where classes are not represented equally, with some classes having significantly fewer samples."
What is SMOTE? , SMOTE (Synthetic Minority Oversampling Technique) is a method for handling imbalanced datasets by generating synthetic examples.
Define cost-sensitive learning , Cost-sensitive learning is an approach that takes into account the varying costs of different types of classification errors.
What is anomaly detection? ," Anomaly detection is the identification of rare items, events, or observations that deviate significantly from the norm."
Explain one-class SVM , One-class SVM is an unsupervised algorithm that learns a decision function for novelty detection using only normal data.
What is isolation forest? , Isolation forest is an anomaly detection algorithm that isolates anomalies by randomly selecting features and split values.
Define local outlier factor , Local outlier factor is a method for identifying outliers by measuring the local deviation of a data point with respect to its neighbors.
What is clustering validation? , Clustering validation is the process of evaluating the quality of clustering results using various metrics.
Explain silhouette analysis , Silhouette analysis is a method for interpreting and validating consistency within clusters of data.
What is elbow method? , The elbow method is a technique used to determine the optimal number of clusters in k-means clustering.
Define DBSCAN clustering , DBSCAN is a density-based clustering algorithm that groups together points in high-density areas and marks outliers in low-density areas.
What is data science? ," Data science is an interdisciplinary field that uses scientific methods, algorithms, and systems to extract insights from structured and unstructured data."
Define big data ," Big data refers to extremely large datasets that require specialized tools and techniques to store, process, and analyze."
What are the 5 V's of big data? ," The 5 V's of big data are Volume, Velocity, Variety, Veracity, and Value."
Explain data mining ," Data mining is the process of discovering patterns, trends, and insights from large datasets using various analytical techniques."
What is exploratory data analysis? , Exploratory data analysis (EDA) is the process of analyzing datasets to summarize their main characteristics using statistical graphics and visualization methods.
Define data cleaning ," Data cleaning is the process of detecting and correcting errors, inconsistencies, and inaccuracies in datasets."
What is data preprocessing? ," Data preprocessing involves transforming raw data into a clean, formatted dataset suitable for analysis and modeling."
Explain data visualization ," Data visualization is the representation of data through charts, graphs, maps, and other visual elements to communicate insights effectively."
What is a data warehouse? , A data warehouse is a centralized repository that stores integrated data from multiple sources for analysis and reporting.
Define ETL process ," ETL (Extract, Transform, Load) is a process that extracts data from various sources, transforms it into a suitable format, and loads it into a target system."
What is data wrangling? ," Data wrangling is the process of cleaning, structuring, and enriching raw data into a desired format for analysis."
Explain descriptive statistics , Descriptive statistics are summary statistics that describe the basic features of a dataset.
What is inferential statistics? , Inferential statistics is the process of drawing conclusions about a population based on a sample of data.
Define data quality ," Data quality refers to the condition of data based on factors like accuracy, completeness, consistency, and reliability."
What is missing data? , Missing data refers to the absence of values for certain variables in a dataset.
Explain data imputation , Data imputation is the process of filling in missing values in a dataset using various statistical methods.
What is data integration? , Data integration is the process of combining data from different sources into a unified view.
Define data transformation , Data transformation is the process of converting data from one format or structure into another.
What is data profiling? ," Data profiling is the process of examining and analyzing data to understand its structure, content, and quality."
Explain data governance ," Data governance is the overall management of data availability, usability, integrity, and security in an organization."
What is statistical significance? , Statistical significance indicates whether observed differences in data are likely due to chance or represent true effects in the population.
Explain p-value ," A p-value is the probability of obtaining results at least as extreme as observed, assuming the null hypothesis is true."
What is A/B testing? , A/B testing is a statistical method that compares two versions of a variable to determine which performs better.
Define confidence interval , A confidence interval is a range of values that likely contains the true population parameter with a specified level of confidence.
What is correlation? , Correlation measures the strength and direction of a linear relationship between two variables.
Explain causation vs correlation ," Correlation indicates a relationship between variables, while causation implies that one variable directly causes changes in another."
What is regression analysis? , Regression analysis is a statistical method used to examine the relationship between a dependent variable and one or more independent variables.
Define R-squared , R-squared is a statistical measure that represents the proportion of variance in the dependent variable explained by the independent variables.
What is multicollinearity? , Multicollinearity occurs when independent variables in a regression model are highly correlated with each other.
Explain hypothesis testing , Hypothesis testing is a statistical method used to make decisions about population parameters based on sample data.
What is Type I error? , Type I error is rejecting a true null hypothesis (false positive).
Define Type II error , Type II error is accepting a false null hypothesis (false negative).
What is power analysis? , Power analysis is the calculation of the probability that a test will correctly reject a false null hypothesis.
Explain sampling methods , Sampling methods are techniques used to select a subset of individuals from a population for statistical analysis.
What is stratified sampling? ," Stratified sampling is a method where the population is divided into strata, and samples are drawn from each stratum."
Define cluster sampling ," Cluster sampling is a method where the population is divided into clusters, and entire clusters are randomly selected."
What is systematic sampling? , Systematic sampling is a method where every kth element is selected from a population after a random starting point.
Explain central limit theorem , The central limit theorem states that the sampling distribution of the sample mean approaches a normal distribution as sample size increases.
What is normal distribution? ," Normal distribution is a continuous probability distribution that is symmetric around the mean, forming a bell-shaped curve."
Define standard deviation , Standard deviation is a measure of the amount of variation or dispersion in a set of values.
What is time series analysis? ," Time series analysis involves studying data points collected over time to identify trends, patterns, and seasonal variations."
Define seasonality in time series , Seasonality refers to predictable patterns that repeat over fixed periods in time series data.
What is ARIMA model? , ARIMA (AutoRegressive Integrated Moving Average) is a statistical model used for analyzing and forecasting time series data.
Explain principal component analysis , PCA is a dimensionality reduction technique that transforms data into a lower-dimensional space while preserving maximum variance.
What is cluster analysis? , Cluster analysis is a technique that groups similar data points together based on their characteristics or features.
Define k-means clustering , K-means clustering is an unsupervised learning algorithm that partitions data into k clusters based on feature similarity.
What is hierarchical clustering? , Hierarchical clustering creates a tree-like structure of clusters by either merging or splitting clusters iteratively.
Explain dimensionality reduction , Dimensionality reduction is the process of reducing the number of features in a dataset while preserving important information.
What is the curse of dimensionality? ," The curse of dimensionality refers to phenomena that occur when analyzing data in high-dimensional spaces, including increased computational complexity and sparsity."
Define outlier detection , Outlier detection is the process of identifying data points that significantly differ from other observations in a dataset.
What is Gaussian mixture models? , Gaussian mixture models are probabilistic models that assume data comes from a mixture of Gaussian distributions.
Explain spectral clustering , Spectral clustering uses the eigenvalues of a similarity matrix to perform dimensionality reduction before clustering.
What is t-SNE? , t-SNE (t-Distributed Stochastic Neighbor Embedding) is a technique for dimensionality reduction that is particularly good for visualizing high-dimensional data.
Define UMAP , UMAP (Uniform Manifold Approximation and Projection) is a dimensionality reduction technique that preserves local and global structure.
What is manifold learning? , Manifold learning is a class of algorithms that assume data lies on a low-dimensional manifold within a high-dimensional space.
Explain survival analysis , Survival analysis is a branch of statistics that deals with the expected duration until one or more events occur.
What is Cox regression? , Cox regression is a statistical technique for exploring the relationship between the survival of a patient and several explanatory variables.
Define Kaplan-Meier estimator , The Kaplan-Meier estimator is a non-parametric statistic used to estimate the survival function from lifetime data.
What is hazard function? ," A hazard function represents the instantaneous risk of an event occurring at time t, given survival up to time t."
Explain bootstrapping , Bootstrapping is a resampling technique that involves repeatedly sampling with replacement from the original dataset.
What is artificial intelligence? , Artificial Intelligence is the simulation of human intelligence in machines programmed to think and learn like humans.
Define narrow AI , Narrow AI is artificial intelligence designed to perform specific tasks within a limited domain.
What is general AI? , General AI refers to artificial intelligence with human-like cognitive abilities across multiple domains.
Explain expert systems , Expert systems are AI programs that emulate the decision-making ability of human experts in specific domains.
What is natural language processing? ," Natural Language Processing (NLP) is a branch of AI that helps computers understand, interpret, and generate human language."
Define computer vision , Computer vision is a field of AI that enables computers to interpret and understand visual information from the world.
What is robotics? ," Robotics is an interdisciplinary field that combines AI, engineering, and computer science to create intelligent machines."
Explain intelligent agents , Intelligent agents are autonomous entities that perceive their environment and take actions to achieve specific goals.
What is the Turing Test? , The Turing Test is a test of machine intelligence where a human evaluator judges conversations between a human and a machine.
Define knowledge representation , Knowledge representation is the field of AI focused on how to formally represent information about the world for computer processing.
What is machine reasoning? , Machine reasoning is the ability of AI systems to draw logical conclusions from available information.
Explain search algorithms , Search algorithms are methods used to find solutions to problems by exploring possible states or configurations.
What is heuristic search? , Heuristic search uses rules of thumb or educated guesses to guide the search process toward promising solutions.
Define constraint satisfaction , Constraint satisfaction problems involve finding values for variables that satisfy a set of constraints.
What is planning in AI? , Planning in AI is the process of finding a sequence of actions to achieve a goal state from an initial state.
Explain game playing AI ," Game playing AI involves creating systems that can play games at a high level, often using techniques like minimax and alpha-beta pruning."
What is fuzzy logic? , Fuzzy logic is a form of many-valued logic that deals with approximate reasoning rather than fixed and exact reasoning.
Define probabilistic reasoning , Probabilistic reasoning involves making inferences under uncertainty using probability theory.
What is Bayesian networks? , Bayesian networks are probabilistic graphical models that represent conditional dependencies between variables.
Explain decision theory , Decision theory is a branch of mathematics that studies decision-making under uncertainty.
What is neural network? ," A neural network is a computing system inspired by biological neural networks, consisting of interconnected nodes (neurons) that process information."
Explain perceptron ," A perceptron is the simplest form of neural network, consisting of a single layer that makes binary classifications."
What is backpropagation? , Backpropagation is an algorithm used to train neural networks by propagating errors backward through the network to adjust weights.
Define activation function , An activation function determines the output of a neural network node based on the weighted sum of inputs.
What is deep learning? , Deep learning is a subset of machine learning that uses neural networks with multiple layers to model complex patterns in data.
Explain convolutional neural network , CNN is a type of deep neural network particularly effective for processing grid-like data such as images.
What is recurrent neural network? , RNN is a type of neural network designed to process sequential data by maintaining memory of previous inputs.
Define LSTM , Long Short-Term Memory (LSTM) is a type of RNN that can learn long-term dependencies in sequence data.
What is GRU? , Gated Recurrent Unit (GRU) is a type of RNN that uses gating mechanisms to control information flow.
Explain transfer learning ," Transfer learning is a technique where a pre-trained model is adapted for a new, related task."
What is dropout? , Dropout is a regularization technique that randomly sets some neurons to zero during training to prevent overfitting.
Define batch normalization , Batch normalization is a technique that normalizes the inputs of each layer to improve training stability and speed.
What is attention mechanism? , Attention mechanism allows neural networks to focus on relevant parts of input data when making predictions.
Explain seq2seq models ," Sequence-to-sequence models are neural networks that transform one sequence into another, commonly used in translation tasks."
What is autoencoder? ," An autoencoder is a neural network that learns to compress and then reconstruct data, often used for dimensionality reduction."
Define variational autoencoder , A variational autoencoder is a generative model that learns to encode data into a latent space and decode it back.
What is residual networks? , Residual networks (ResNets) use skip connections to allow training of very deep neural networks.
Explain adversarial examples ," Adversarial examples are inputs designed to fool machine learning models by making small, imperceptible changes."
What is adversarial training? , Adversarial training is a method to improve model robustness by training on adversarial examples.
Define neural architecture search , Neural architecture search is the process of automatically designing neural network architectures.
What is generative adversarial network? , GAN is a deep learning architecture where two neural networks compete: a generator creates fake data and a discriminator tries to detect it.
Define transformer architecture , Transformer is a neural network architecture that uses self-attention mechanisms to process sequential data in parallel.
What is BERT? , BERT (Bidirectional Encoder Representations from Transformers) is a pre-trained language model that understands context bidirectionally.
Explain GPT models , GPT (Generative Pre-trained Transformer) models are language models that generate human-like text using transformer architecture.
What is reinforcement learning? , Reinforcement learning is a type of machine learning where an agent learns to make decisions by receiving rewards or penalties.
Define Q-learning , Q-learning is a model-free reinforcement learning algorithm that learns optimal action-selection policies.
What is policy gradient methods? , Policy gradient methods directly optimize the policy function using gradient ascent on expected rewards.
Explain actor-critic method ," Actor-critic combines value-based and policy-based methods, using an actor to select actions and a critic to evaluate them."
What is deep reinforcement learning? , Deep reinforcement learning combines deep learning with reinforcement learning to handle high-dimensional state spaces.
Define meta-learning ," Meta-learning is the science of learning to learn, where algorithms improve their learning process through experience."
What is few-shot learning? , Few-shot learning is a machine learning approach that can learn new tasks with only a few training examples.
Explain zero-shot learning , Zero-shot learning is the ability to classify or perform tasks on data categories that were not seen during training.
What is continual learning? , Continual learning is the ability to learn new tasks without forgetting previously learned tasks.
Define neural Turing machines , Neural Turing machines are neural networks augmented with external memory to perform complex reasoning tasks.
What is differentiable programming? , Differentiable programming is a programming paradigm where programs can be differentiated to enable gradient-based optimization.
Explain graph neural networks , Graph neural networks are neural networks designed to work with graph-structured data.
What is federated learning? , Federated learning is a machine learning approach that trains models across decentralized data sources without sharing raw data.
Define quantum machine learning , Quantum machine learning explores the application of quantum computing to machine learning problems.
What is neuromorphic computing? , Neuromorphic computing is a computing approach that mimics the structure and function of biological neural networks.
Explain artificial life , Artificial life is the study of systems that exhibit behaviors characteristic of natural living systems.
What is probability? ," Probability is a measure of the likelihood that an event will occur, expressed as a number between 0 and 1."
Define Bayes' theorem , Bayes' theorem describes the probability of an event based on prior knowledge of conditions related to the event.
What is conditional probability? , Conditional probability is the probability of an event occurring given that another event has already occurred.
Explain independence , Two events are independent if the occurrence of one event does not affect the probability of the other event.
What is variance? ," Variance is the average of the squared differences from the mean, measuring how spread out data points are."
Define covariance , Covariance measures how much two random variables change together.
What is chi-square test? , Chi-square test is a statistical test used to determine if there's a significant association between categorical variables.
Explain null hypothesis ," The null hypothesis is a statement that there is no effect or no difference, used as a starting point for statistical testing."
What is alternative hypothesis? , The alternative hypothesis is a statement that contradicts the null hypothesis and represents what we're trying to prove.
Define degrees of freedom , Degrees of freedom represent the number of independent pieces of information available to estimate a parameter.
What is t-test? , A t-test is a statistical test used to compare means between groups or against a known value.
Explain ANOVA , ANOVA (Analysis of Variance) is a statistical method used to test differences between two or more group means.
What is linear correlation? , Linear correlation measures the strength and direction of a linear relationship between two continuous variables.
Define regression coefficients , Regression coefficients represent the change in the dependent variable for a one-unit change in the independent variable.
What is residual analysis? , Residual analysis involves examining the differences between observed and predicted values to validate model assumptions.
Explain maximum likelihood estimation , Maximum likelihood estimation is a method for estimating parameters by maximizing the likelihood function.
What is confidence level? , Confidence level is the probability that a confidence interval contains the true population parameter.
Define effect size , Effect size is a quantitative measure of the magnitude of a phenomenon or the strength of a relationship.
What is statistical power? , Statistical power is the probability that a test will correctly reject a false null hypothesis.
Explain sampling distribution , A sampling distribution is the probability distribution of a statistic obtained from a large number of samples.
What is Python? ," Python is a high-level, interpreted programming language widely used in data science, machine learning, and AI applications."
What is R programming? , R is a programming language and software environment specifically designed for statistical computing and graphics.
Explain pandas library , Pandas is a Python library providing data structures and data analysis tools for handling structured data.
What is NumPy? ," NumPy is a Python library that provides support for large, multi-dimensional arrays and matrices, along with mathematical functions."
Define scikit-learn , Scikit-learn is a Python library that provides simple and efficient tools for machine learning and data mining.
What is TensorFlow? , TensorFlow is an open-source platform for machine learning that provides comprehensive tools for building and deploying ML models.
Explain PyTorch , PyTorch is an open-source machine learning framework that provides tensor computations and deep neural networks.
What is Jupyter Notebook? ," Jupyter Notebook is an interactive computing environment that allows you to create and share documents containing code, equations, and visualizations."
Define Git version control , Git is a distributed version control system that tracks changes in files and coordinates work among multiple developers.
What is SQL? , SQL (Structured Query Language) is a programming language designed for managing and manipulating relational databases.
Explain Apache Spark , Apache Spark is an open-source distributed computing system designed for fast processing of large datasets.
What is Hadoop? , Hadoop is an open-source framework for distributed storage and processing of large datasets across clusters of computers.
Define Docker , Docker is a platform that uses containerization to package applications and their dependencies into portable containers.
What is Kubernetes? ," Kubernetes is an open-source container orchestration platform for automating deployment, scaling, and management of containerized applications."
Explain REST API , REST API is a set of rules and conventions for building and interacting with web services using HTTP methods.
What is JSON? , JSON (JavaScript Object Notation) is a lightweight data-interchange format that's easy for humans to read and write.
Define data pipeline ," A data pipeline is a series of data processing steps that move data from source to destination, transforming it along the way."
What is cloud computing? ," Cloud computing is the delivery of computing services over the internet, including storage, processing, and software."
Explain microservices ," Microservices is an architectural approach that structures an application as a collection of small, independently deployable services."
What is NoSQL database? , NoSQL databases are non-relational databases designed to handle large volumes of unstructured or semi-structured data.
What is an array? , An array is a data structure that stores elements of the same type in contiguous memory locations.
Define linked list ," A linked list is a linear data structure where elements are stored in nodes, and each node contains data and a reference to the next node."
What is a stack? , A stack is a linear data structure that follows the Last In First Out (LIFO) principle for adding and removing elements.
Explain queue data structure , A queue is a linear data structure that follows the First In First Out (FIFO) principle for adding and removing elements.
What is a binary tree? ," A binary tree is a hierarchical data structure where each node has at most two children, referred to as left and right child."
Define hash table ," A hash table is a data structure that implements an associative array, mapping keys to values using a hash function."
What is binary search? , Binary search is an efficient algorithm for finding an item from a sorted list by repeatedly dividing the search interval in half.
Explain sorting algorithms ," Sorting algorithms are methods for arranging elements in a specific order, such as ascending or descending numerical or lexicographical order."
What is Big O notation? , Big O notation describes the upper bound of the time or space complexity of an algorithm in terms of input size.
Define recursion , Recursion is a programming technique where a function calls itself to solve smaller instances of the same problem.
What is dynamic programming? , Dynamic programming is a method for solving complex problems by breaking them down into simpler subproblems.
Explain greedy algorithms , Greedy algorithms make locally optimal choices at each step with the hope of finding a global optimum.
What is breadth-first search? , Breadth-first search is a graph traversal algorithm that explores all vertices at the current depth before moving to vertices at the next depth.
Define depth-first search , Depth-first search is a graph traversal algorithm that explores as far as possible along each branch before backtracking.
What is Dijkstra's algorithm? , Dijkstra's algorithm is a graph search algorithm that finds the shortest path between nodes in a weighted graph.
Explain merge sort ," Merge sort is a divide-and-conquer algorithm that divides the array into halves, sorts them, and then merges them back together."
What is quick sort? , Quick sort is a divide-and-conquer algorithm that selects a pivot element and partitions the array around it.
Define heap data structure , A heap is a complete binary tree where each node is either greater than or equal to (max heap) or less than or equal to (min heap) its children.
What is a graph? ," A graph is a data structure consisting of vertices (nodes) connected by edges, used to represent relationships between objects."
Explain tree traversal , Tree traversal is the process of visiting each node in a tree data structure exactly once in a systematic way.
What is AI ethics? , AI ethics is the field that examines the moral implications and societal impacts of artificial intelligence systems.
Define algorithmic bias , Algorithmic bias occurs when AI systems produce discriminatory results due to biased training data or flawed algorithms.
What is fairness in AI? , Fairness in AI refers to the principle that AI systems should treat all individuals and groups equitably without discrimination.
Explain explainable AI , Explainable AI (XAI) refers to AI systems that provide clear explanations for their decisions and predictions.
What is privacy in AI? , Privacy in AI involves protecting personal information and ensuring that AI systems don't violate user privacy rights.
Define AI transparency ," AI transparency refers to the openness and clarity about how AI systems work, their limitations, and their decision-making processes."
What is responsible AI? ," Responsible AI is the practice of developing and deploying AI systems in ways that are ethical, fair, and beneficial to society."
Explain AI safety , AI safety focuses on ensuring that AI systems operate safely and don't cause unintended harm to humans or society.
What is the AI alignment problem? , The AI alignment problem refers to the challenge of ensuring that AI systems' goals and behaviors align with human values and intentions.
Define AI governance ," AI governance involves the frameworks, policies, and processes for overseeing the development and deployment of AI systems."
What is data sovereignty? , Data sovereignty refers to the concept that data is subject to the laws and governance structures of the nation where it's collected.
Explain informed consent , Informed consent is the principle that individuals should understand and agree to how their data will be used.
What is algorithmic accountability? , Algorithmic accountability refers to the responsibility of organizations to explain and justify their algorithmic decisions.
Define digital divide , The digital divide refers to the gap between those who have access to digital technologies and those who don't.
What is AI for social good? , AI for social good involves using artificial intelligence to address societal challenges and improve human welfare.
Explain human-in-the-loop , Human-in-the-loop refers to AI systems that incorporate human judgment and oversight in their decision-making processes.
What is AI regulation? , AI regulation involves government policies and laws designed to oversee the development and deployment of AI systems.
Define technological determinism , Technological determinism is the belief that technology drives social change and human behavior.
What is the precautionary principle? , The precautionary principle suggests that lack of full scientific certainty shouldn't postpone action to prevent potential harm.
Explain stakeholder engagement , Stakeholder engagement involves including diverse perspectives and interests in AI development and deployment decisions.
What is business intelligence? , Business intelligence involves analyzing business data to help organizations make informed decisions.
Define predictive analytics ," Predictive analytics uses historical data, statistical algorithms, and machine learning to predict future outcomes."
What is customer segmentation? , Customer segmentation is the practice of dividing customers into groups based on shared characteristics or behaviors.
Explain recommendation systems , Recommendation systems are algorithms that suggest relevant items to users based on their preferences and behavior.
What is churn prediction? , Churn prediction is the process of identifying customers who are likely to stop
What is artificial intelligence?,It is the simulation of human intelligence processes by machines.
What is machine learning?,A subset of AI that enables systems to learn from data and improve over time.
What is deep learning?,A type of machine learning using neural networks with many layers.
What is a neural network?,"A model inspired by the human brain,  consisting of layers of interconnected nodes."
What is reinforcement learning?,A type of ML where an agent learns to take actions by receiving rewards or penalties.
What is a decision tree?,A tree-like model used for classification and regression tasks.
What is random forest?,An ensemble learning method using multiple decision trees.
What is support vector machine?,A supervised learning algorithm used for classification and regression.
What is k-means clustering?,An unsupervised algorithm used to partition data into k clusters.
What is PCA?,Principal Component Analysis is used for dimensionality reduction.
What is feature engineering?,The process of selecting and transforming variables to improve model performance.
What is feature selection?,Choosing the most important variables for model training.
What is a hyperparameter?,A configuration external to the model that must be set before training.
What is bias in machine learning?,Error from erroneous assumptions in the learning algorithm.
What is variance in machine learning?,Error from sensitivity to small fluctuations in the training set.
What is regularization?,A technique to prevent overfitting by adding a penalty to the loss function.
What is L1 regularization?,"Also known as Lasso,  it adds the absolute value of coefficients to the loss."
What is L2 regularization?,"Also known as Ridge,  it adds the squared value of coefficients to the loss."
What is ensemble learning?,Combining predictions from multiple models to improve performance.
What is bagging?,An ensemble method that trains multiple models on different subsets of data.
What is boosting?,"An ensemble method that trains models sequentially, each correcting the previous."
What is XGBoost?,An optimized implementation of gradient boosting for speed and performance.
What is LightGBM?,A gradient boosting framework that uses tree-based learning algorithms.
What is CatBoost?,A gradient boosting algorithm that handles categorical features automatically.
What is NLP?,Natural Language Processing deals with interaction between computers and human language.
What is sentiment analysis?,Analyzing text to determine the emotional tone behind it.
What is tokenization in NLP?,Breaking text into smaller pieces like words or phrases.
What is stemming?,Reducing words to their root form.
What is lemmatization?,Converting a word to its base or dictionary form.
What is word embedding?,A representation of words in vector space.
What is TF-IDF?,Term Frequency-Inverse Document Frequency is used to evaluate word importance.
What is a chatbot?,A software that simulates conversation with users.
What is data analytics?,It is the process of examining data sets to draw conclusions about the information they contain.
What are the types of data analytics?,"Descriptive,  Diagnostic"
 What is descriptive analytics?,It summarizes historical data to understand changes over time.
 What is diagnostic analytics?,It examines data to understand causes of past outcomes.
 What is predictive analytics?,"It uses data, statistical algorithms"
 What is prescriptive analytics?,It suggests actions to benefit from the predictions and take advantage of future opportunities.
 What is the difference between data analytics and data science?,"Data analytics focuses on analyzing existing data,  while data science involves developing models and algorithms to extract insights and make predictions."
 What tools are commonly used in data analytics?,"Excel, SQL, Tableau"
 What is a KPI?,A Key Performance Indicator is a measurable value that shows how effectively a company is achieving its objectives.
 What is data visualization?,The graphical representation of information and data using visual elements like charts and graphs.
 What is a dashboard?,A visual interface that displays key metrics and data points for decision-making.
 What is a pivot table?,"A data summarization tool found in Excel and BI tools to sort,  reorganize"
 What is exploratory data analysis EDA)?,It’s an approach to analyzing data sets to summarize their main characteristics  often using visual methods.
 What is data wrangling?,It is the process of cleaning and transforming raw data into a format suitable for analysis.
 What is a data warehouse?,A central repository for storing integrated data from multiple sources for reporting and analysis.
 What is SQL used for in analytics?,"It is used for querying, managing"
 What is a correlation matrix?,A table showing correlation coefficients between variables.
 What is the difference between correlation and causation?,"Correlation is a relationship between two variables, while causation means one causes the other."
 What is A/B testing?,It is a method of comparing two versions of a variable to determine which performs better.
 What is a time series?,A series of data points indexed in time order.
 What is forecasting?,Predicting future data values based on historical patterns.
 What is outlier detection?,Identifying data points that significantly differ from other observations.
 What is normalization in data analytics?,It is the process of scaling data into a specified range  typically 0 to 1.
 What is a histogram?,A graphical representation of the distribution of a dataset.
 What is skewness?,A measure of the asymmetry of the distribution of values in a dataset.
 What is kurtosis?,A measure of whether the data are heavy-tailed or light-tailed relative to a normal distribution.
 What is data lineage?,The process of tracking the data from its source to its destination through all transformations.
 What is data governance?,"The management of data availability,  usability"
 What is a null value in data?,It represents missing or undefined data.
 What is the importance of data quality?,"High-quality data is accurate,  complete"
 What is a Pareto chart?,A bar graph that shows which factors are more significant.
 What is root cause analysis?,A method of problem solving to identify the underlying cause of an issue.
 What is a data analyst?,"A professional who collects,  processes"
 What is Power BI?,A business analytics tool by Microsoft used for visualizing and sharing insights.
 What is Tableau?,A data visualization software used to create interactive dashboards.
 What is a dimension in analytics?,"A qualitative attribute used to categorize data,such as date or region."
 What is a measure in analytics?,"A quantitative value that is analyzed, like revenue or profit."
 What is a data mart?,"A subset of a data warehouse, focused on a specific business line or team."
 What is the 80/20 rule in data analysis?,Also known as Pareto Principle: 80% of effects come from 20% of causes.
